"Term","Label","Description","domain","range","ParentProperty","RelatedTerms","Relation","Comment","Source","Created","Modified","Status","Contributors","Resolution","","","","","","","","","","","","",""
"hasPersonalDataCategory","has personal data category","Indicates association with a Personal Data Category.","","","","","","","(SPECIAL Project,https://www.specialprivacy.eu/)","2019-04-04","2022-01-19","deprecated","Axel Polleres, Javier Fernández, Harshvardhan J. Pandit, Mark Lizar, Bud Bruegger
","https://www.w3.org/2019/04/05-dpvcg-minutes.html","","","","","","","","","","","","",""
"hasPersonalData","has personal data","Indicates association with Personal Data","","","","","","","","2022-01-19","","accepted","Harshvardhan J. Pandit","https://www.w3.org/community/dpvcg/wiki/MinutesOfMeeting_20220119","","","","","","","","","","","","",""
"hasProcessing","has processing","Indicates association with Processing","","","","","","","(SPECIAL Project,https://www.specialprivacy.eu/)","2019-04-04","2020-11-04","accepted","Axel Polleres, Javier Fernández, Harshvardhan J. Pandit, Mark Lizar, Bud Bruegger
","https://www.w3.org/2019/04/05-dpvcg-minutes.html","","","","","","","","","","","","",""
"hasPurpose","has purpose","Indicates association with Purpose","","","","","","","(SPECIAL Project,https://www.specialprivacy.eu/)","2019-04-04","2020-11-04","accepted","Axel Polleres, Javier Fernández, Harshvardhan J. Pandit, Mark Lizar, Bud Bruegger
","https://www.w3.org/2019/04/05-dpvcg-minutes.html","","","","","","","","","","","","",""
"hasRecipient","has recipient","Indicates Recipient of Personal Data","","","","","","","(SPECIAL Project,https://www.specialprivacy.eu/)","2019-04-04","2020-11-04","accepted","Axel Polleres, Javier Fernández, Harshvardhan J. Pandit, Mark Lizar, Bud Bruegger
","https://www.w3.org/2019/04/05-dpvcg-minutes.html","","","","","","","","","","","","",""
"hasTechnicalOrganisationalMeasure","has technical and organisational measure","Indicates use or applicability of Technical or Organisational measure","","","","","","","","2019-04-04","2020-11-04","accepted","Axel Polleres, Javier Fernández, Harshvardhan J. Pandit, Mark Lizar, Bud Bruegger
","https://www.w3.org/2019/04/05-dpvcg-minutes.html","","","","","","","","","","","","",""
"hasLegalBasis","has legal basis","Indicates use or applicability of a Legal Basis","","","","","","","","2019-04-04","2020-11-04","accepted","Axel Polleres, Javier Fernández","https://www.w3.org/2019/04/05-dpvcg-minutes.html","","","","","","","","","","","","",""
"hasDataSubject","has data subject","Indicates association with Data Subject","","","","","","","","2019-04-04","2020-11-04","accepted","Axel Polleres, Javier Fernández, Harshvardhan J. Pandit, Mark Lizar, Bud Bruegger
","https://www.w3.org/2019/04/05-dpvcg-minutes.html","","","","","","","","","","","","",""
"hasDataController","has data controller","Indicates association with Data Controller","","","","","","","","2019-04-04","2020-11-04","accepted","Axel Polleres, Javier Fernández, Harshvardhan J. Pandit, Mark Lizar, Bud Bruegger
","https://www.w3.org/2019/04/05-dpvcg-minutes.html","","","","","","","","","","","","",""
"hasRight","has right","Indicates use or applicability of Right","","","","","","","","2020-11-18","","accepted","Harshvardhan J. Pandit","https://www.w3.org/2020/11/18-dpvcg-minutes.html","","","","","","","","","","","","",""
"hasRisk","has risk","Indicates applicability of Risk","","","","","","","","2020-11-18","","accepted","Harshvardhan J. Pandit","https://www.w3.org/2020/11/18-dpvcg-minutes.html","","","","","","","","","","","","",""
"hasPersonalDataHandling","has personal data handling","Indicates association with Personal Data Handling","","","","","","","","2022-01-19","","accepted","Harshvardhan J. Pandit, Georg P Krog","https://www.w3.org/community/dpvcg/wiki/MinutesOfMeeting_20220119","","","","","","","","","","","","",""
