"Term","Label","Description","ParentTerm","RelatedTerms","Relation","Comment","Source","Created","Modified","Status","Contributors","Resolution","","","","","","","","","","","","","","",""
"Context","Context","Contextually relevant information about purpose not possible to represent through other concepts","","","","","","2019-04-05","","accepted","Harshvardhan J. Pandit, Javier Fernandez, Axel Polleres, Elmar Kiesling, Fajar Ekaputra, Simon Steyskal","https://www.w3.org/2019/04/05-dpvcg-minutes.html","","","","","","","","","","","","","","",""
"Importance","Importance","An indication of 'importance' within a context","dpv:Context","","","Importance can be used to express importance, desirability, relevance, or significance as a context.","","2022-20-09","","accepted","Harshvardhan J. Pandit, Paul Ryan, Georg P Krog, Julian Flake, Beatriz Esteves","https://www.w3.org/2022/02/09-dpvcg-minutes.html","","","","","","","","","","","","","","",""
"PrimaryImportance","Primary Importance","Indication of 'primary' or 'main' or 'core' importance","dpv:Importance","","","","","2022-20-09","","accepted","Harshvardhan J. Pandit, Paul Ryan, Georg P Krog, Julian Flake, Beatriz Esteves","https://www.w3.org/2022/02/09-dpvcg-minutes.html","","","","","","","","","","","","","","",""
"SecondaryImportance","Secondary Importance","Indication of 'secondary' or 'minor' or 'auxiliary' importance","dpv:Importance","","","","","2022-20-09","","accepted","Harshvardhan J. Pandit, Paul Ryan, Georg P Krog, Julian Flake, Beatriz Esteves","https://www.w3.org/2022/02/09-dpvcg-minutes.html","","","","","","","","","","","","","","",""
"Necessity","Necessity","An indication of 'necessity' within a context","dpv:Context","","","Necessity can be used to express need, essentiality, requirement, or compulsion.","","2022-20-09","","accepted","Harshvardhan J. Pandit, Paul Ryan, Georg P Krog, Julian Flake, Beatriz Esteves","https://www.w3.org/2022/02/09-dpvcg-minutes.html","","","","","","","","","","","","","","",""
"Required","Required","Indication of 'required' or 'necessary'","dpv:Necessity","","","","","2022-20-09","","accepted","Harshvardhan J. Pandit, Paul Ryan, Georg P Krog, Julian Flake, Beatriz Esteves","https://www.w3.org/2022/02/09-dpvcg-minutes.html","","","","","","","","","","","","","","",""
"Optional","Optional","Indication of 'optional' or 'voluntary'","dpv:Necessity","","","","","2022-20-09","","accepted","Harshvardhan J. Pandit, Paul Ryan, Georg P Krog, Julian Flake, Beatriz Esteves","https://www.w3.org/2022/02/09-dpvcg-minutes.html","","","","","","","","","","","","","","",""
"NotRequired","Not Required","Indication of neither being required nor optional i.e. not relevant or needed","dpv:Necessity","","","","","2022-20-09","","accepted","Harshvardhan J. Pandit, Paul Ryan, Georg P Krog, Julian Flake, Beatriz Esteves","https://www.w3.org/2022/02/09-dpvcg-minutes.html","","","","","","","","","","","","","","",""
"Event","Event","An activity or occurence","","","","","","","","proposed","Harshvardhan J. Pandit","","","","","","","","","","","","","","","",""
"Service","","","Context","","","","","","","proposed","Harshvardhan J. Pandit","","","","","","","","","","","","","","","",""
"Product","","","Context","","","","","","","proposed","Harshvardhan J. Pandit","","","","","","","","","","","","","","","",""
"Application","","","Product","","","","","","","proposed","Harshvardhan J. Pandit","","","","","","","","","","","","","","","",""
"SmartphoneApplication","","","App","","","","","","","proposed","Harshvardhan J. Pandit","","","","","","","","","","","","","","","",""
"DigitalService","","","Service","","","","","","","proposed","Harshvardhan J. Pandit","","","","","","","","","","","","","","","",""
"OnlineService","","","DigitalService","","","","","","","proposed","Harshvardhan J. Pandit","","","","","","","","","","","","","","","",""
"DataBreach","","","Event","","","","","","","proposed","Harshvardhan J. Pandit","","","","","","","","","","","","","","","",""
"Beneficiary","Beneficiary","Beneficiary in context of purpose and its resulting benefits","","","","This needs further details, the group is asking feedback about whether Beneficiaries of a specific purposes hould be specified separately or not. self.DataSubject, self.DataController, society ? ( --- under consideration ---)","","2019-04-05","","proposed","Axel Polleres","https://www.w3.org/2019/04/05-dpvcg-minutes.html","","","","","","","","","","","","","","",""
"Benefit","Benefit","The benefits obtained or derived or provided from a purpose","","","","","","2021-01-06","","proposed","","https://www.w3.org/2021/01/06-dpvcg-minutes.html","","","","","","","","","","","","","","",""
