law,law_str,law_str_de,start,end,locs,web
http://w3id.org/dpv/dpv-juris#DE-BDSG,Federal Data Protection Act (BDSG),Bundesdatenschutzgesetz (BDSG),2019-11-20,,"http://w3id.org/dpv/dpv-juris#DE,http://w3id.org/dpv/dpv-juris#DE-BW,http://w3id.org/dpv/dpv-juris#DE-BY,http://w3id.org/dpv/dpv-juris#DE-BE,http://w3id.org/dpv/dpv-juris#DE-BB,http://w3id.org/dpv/dpv-juris#DE-HB,http://w3id.org/dpv/dpv-juris#DE-HH,http://w3id.org/dpv/dpv-juris#DE-HE,http://w3id.org/dpv/dpv-juris#DE-NI,http://w3id.org/dpv/dpv-juris#DE-MV,http://w3id.org/dpv/dpv-juris#DE-NW,http://w3id.org/dpv/dpv-juris#DE-RP,http://w3id.org/dpv/dpv-juris#DE-SL,http://w3id.org/dpv/dpv-juris#DE-SN,http://w3id.org/dpv/dpv-juris#DE-ST,http://w3id.org/dpv/dpv-juris#DE-SH,http://w3id.org/dpv/dpv-juris#DE-TH",https://www.gesetze-im-internet.de/bdsg_2018/
http://w3id.org/dpv/dpv-juris#DE-BE-BbgDSG,,Brandenburgisches Datenschutzgesetz (BbgDSG),,,http://w3id.org/dpv/dpv-juris#DE-BB,https://www.lda.brandenburg.de/sixcms/media.php/9/BbgDSG_2019.pdf
http://w3id.org/dpv/dpv-juris#DE-BE-BlnDSG,,Berliner Datenschutzgesetz (BlnDSG),,,http://w3id.org/dpv/dpv-juris#DE-BE,https://www.datenschutz-berlin.de/fileadmin/user_upload/pdf/publikationen/informationsmaterialien/2018-BlnBDI_BlnDSG.pdf
http://w3id.org/dpv/dpv-juris#DE-BW-LDSG,Landesdatenschutzgesetz (LDSG) (BW),Landesdatenschutzgesetz (LDSG) (BW),,,http://w3id.org/dpv/dpv-juris#DE-BW,https://www.baden-wuerttemberg.datenschutz.de/wp-content/uploads/2018/06/LDSG-neu-GBl-2018173.pdf
http://w3id.org/dpv/dpv-juris#DE-BY-BayDSG,,Bayerisches Datenschutzgesetz (BayDSG),,,http://w3id.org/dpv/dpv-juris#DE-BY,https://www.datenschutz-bayern.de/datenschutzreform2018/BayDSG.pdf
http://w3id.org/dpv/dpv-juris#DE-HB-BremDSGVOAG,,Bremisches Ausführungsgesetz zur EU-Datenschutz-Grundverordnung (BremDSGVOAG),,,http://w3id.org/dpv/dpv-juris#DE-HB,https://www.transparenz.bremen.de/metainformationen/bremisches-ausfuehrungsgesetz-zur-eu-datenschutz-grundverordnung-bremdsgvoag-vom-8-mai-2018-116884?template=20_gp_ifg_meta_detail_d
http://w3id.org/dpv/dpv-juris#DE-HE-HDISG,,Hessisches Datenschutz- und Informationsfreiheitsgesetz (HDSIG),,,http://w3id.org/dpv/dpv-juris#DE-HE,https://www.rv.hessenrecht.hessen.de/bshe/document/jlr-DSIFGHErahmen
http://w3id.org/dpv/dpv-juris#DE-HH-HmbDSG,,Hamburgisches Datenschutzgesetz (HmbDSG),,,http://w3id.org/dpv/dpv-juris#DE-HH,https://datenschutz-hamburg.de/assets/pdf/HmbDSG_neu.pdf
http://w3id.org/dpv/dpv-juris#DE-LSA-DSG,,Gesetz zum Schutz personenbezogener Daten der Bürger (Datenschutzgesetz Sachsen-Anhalt - DSG LSA),,,http://w3id.org/dpv/dpv-juris#DE-ST,https://www.landtag.sachsen-anhalt.de/fileadmin/Downloads/Rechtsgrundlagen/2018_Datenschutzgesetz-DSG-LSA.pdf
http://w3id.org/dpv/dpv-juris#DE-MV-DSG,,Gesetz zur Anpassung des Landesdatenschutzgesetzes und weiterer datenschutzrechtlicher Vorschriften im Zuständigkeitsbereich des Ministeriums für Inneres und Europa Mecklenburg-Vorpommern an die Verordnung (EU) 2016/679 und zur Umsetzung der Richtlinie (EU) 2016/680,,,http://w3id.org/dpv/dpv-juris#DE-MV,https://www.datenschutz-mv.de/static/DS/Dateien/Rechtsgrundlagen/Landesdatenschutzgesetz.pdf
